RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
307.2350875	+35.5406361	   152	 0.03504138	 	13.110	11.000	 9.180	 7.440	 5.940	 5.110	 3.870	 3.620	      	      	 4.160	8057	307.23509	+35.54064
112.9905014	+36.2193967	   153	 0.03601638	1	      	      	      	      	      	      	 5.870	      	      	      	 6.100	8130	112.99050	+36.21940
112.9888675	+36.2298369	   153	 0.03601638	2	      	      	      	      	      	      	 6.690	      	      	      	 6.890	8130	112.98887	+36.22984
278.0836497	+36.9987900	   155	 0.03603168	V	22.680	13.700	 8.180	 5.240	 3.530	 2.550	 0.230	-0.530	      	-0.300	      	8007	278.08365	+36.99879
278.0836497	+36.9987900	   155	 0.03603168	V	      	13.700	 8.180	 5.240	 3.530	 2.550	 0.230	-0.530	 0.090	-0.300	      	8014	278.08365	+36.99879
278.0836497	+36.9987900	   155	 0.03603168	V	22.310	13.800	 8.310	 5.320	 3.610	 2.540	 0.250	-0.480	      	-0.390	      	8038	278.08365	+36.99879
305.3411667	+36.9321583	   158	 0.03604025	 	14.830	12.340	 9.330	 6.130	 3.640	 2.350	 0.580	 0.020	      	      	 1.150	8057	305.34117	+36.93216
305.4106131	+37.5330367	   159	 0.03703903	 	16.370	13.230	 9.970	 6.220	 3.440	 2.030	 0.170	-0.440	      	      	 0.760	8057	305.41061	+37.53304
081.9291667	+38.9800000	   160	 0.03801162	 	14.570	12.190	 9.770	 7.560	 5.810	 4.590	 3.080	 2.720	      	      	 3.470	8057	081.92917	+38.98000
348.4117544	+39.4173889	   161	 0.03804955	 	11.590	11.700	11.000	10.370	      	      	      	      	      	      	      	8104	348.41175	+39.41739
072.0742917	+39.9488944	   162	 0.03901070	 	14.140	11.850	 9.820	 8.140	 6.800	 6.000	 4.710	 4.480	      	      	 4.990	8057	072.07429	+39.94889
307.2107925	+39.9817817	   163	 0.03904208	 	13.430	11.010	 8.130	 5.450	 3.380	 2.110	 0.450	-0.080	      	      	 0.940	8057	307.21079	+39.98178
305.1176972	+41.3643294	   164	 0.04004124	 	      	      	      	      	      	      	 5.630	 4.290	      	      	 6.640	8111	305.11770	+41.36433
308.0934358	+41.3052664	   165	 0.04004220	 	      	      	      	      	      	      	 4.340	 4.060	      	      	 4.600	8111	308.09344	+41.30527
308.9462083	+41.3790833	   166	 0.04004243	 	      	      	      	      	      	      	 5.470	      	      	      	 6.150	8102	308.94621	+41.37908
306.0654811	+42.3003825	   167	 0.04103731	 	      	      	      	      	      	      	 9.700	      	      	      	 9.700	8111	306.06548	+42.30038
319.0400275	+42.5409283	   168	 0.04104064	 	      	      	      	      	      	      	 7.860	      	      	      	 7.920	8111	319.04003	+42.54093
072.5622917	+43.1265833	   169	 0.04201065	 	14.010	11.830	10.060	 8.610	 7.510	 6.750	 5.720	 5.570	      	      	 5.850	8057	072.56229	+43.12658
004.5953556	+44.0229533	   170	 0.04300044	1	10.880	 9.630	 8.070	 6.720	 5.530	 4.850	 4.010	      	      	      	      	8004	004.59536	+44.02295
004.6070833	+44.0288889	   170	 0.04300044	2	14.230	12.830	11.030	 9.290	 7.650	 6.810	 5.820	      	      	      	      	8004	004.60708	+44.02889
076.5254167	+43.9408333	   172	 0.04301183	 	14.050	11.650	 9.450	 7.480	 5.860	 4.940	 3.530	 3.250	      	      	 3.880	8057	076.52542	+43.94083
301.2291667	+43.6133333	   173	 0.04303477	 	14.810	12.600	10.110	 7.900	 6.200	 5.020	 3.490	 3.100	      	      	 3.900	8057	301.22917	+43.61333
341.7072178	+44.3339911	   174	 0.04304305	 	12.280	11.450	10.090	 8.370	 6.970	 6.180	 5.290	 5.060	      	      	 5.970	8075	341.70722	+44.33399
341.7072178	+44.3339911	   174	 0.04304305	 	      	      	      	      	      	      	 5.240	 5.000	      	      	 5.480	8130	341.70722	+44.33399
070.3045833	+44.6822222	   174	 0.04401005	 	15.040	12.600	10.240	 8.020	 6.260	 5.180	 3.760	 3.530	      	      	 4.100	8057	070.30458	+44.68222
166.3690739	+43.5267761	   177	 0.04402051	1	11.510	10.320	 8.770	 7.290	 6.220	 5.640	 4.740	 4.500	      	      	      	8008	166.36907	+43.52678
166.3690739	+43.5267761	   177	 0.04402051	1	      	      	      	      	      	      	 4.710	 4.600	      	      	 4.950	8130	166.36907	+43.52678
166.3690739	+43.5267761	   177	 0.04402051	1	      	      	      	      	      	 5.560	 4.760	 4.600	      	      	 4.950	8134	166.36907	+43.52678
166.3937500	+43.5222222	   177	 0.04402051	2	      	      	      	      	      	 8.970	 8.000	      	      	      	      	8008	166.39375	+43.52222
166.3937500	+43.5222222	   177	 0.04402051	2	      	      	      	      	      	      	 7.830	      	      	      	 8.160	8130	166.39375	+43.52222
330.0503042	+45.5999806	   182	 0.04404014	 	      	      	      	      	      	      	 8.690	      	      	      	 8.990	8111	330.05030	+45.59998
