#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
-33.00108 	5.40042	-33.0617	12.001	11.351	10.015	11.125	-99.999	10.461	 9.668	10.561
-36.00106 	5.3975	-35.3617	9.531	9.262	8.231	9.577	-99.999	9.278	 8.545	9.604
-20.00050 	5.43833	-20.0617	9.899	8.203	6.896	8.064	-99.999	6.465	 5.646	6.582
-47.00082 	5.405	-47.1617	12.113	11.402	10.042	11.135	-99.999	10.489	 9.699	10.605
-29.20028 	5.43167	-46.0783	15.383	14.549	13.189	14.265	-99.999	13.076	12.245	13.158
-67.00023 	5.3725	-66.4783	11.351	10.93	9.727	10.937	-99.999	10.413	 9.649	10.624
-32.00106 	5.47667	-31.395	14.544	13.479	12.067	13.107	-99.999	11.935	11.145	12.007
-66.00022 	5.39792	-66.3117	7.805	7.268	6.384	7.884	-99.999	8.04	 7.347	8.54
-25.00112 	5.50833	-24.945	10.686	10.437	9.324	10.603	-99.999	10.164	 9.416	10.429
-27.00098 	5.50667	-26.7117	10.133	9.889	8.795	10.1	-99.999	9.671	 8.920	9.955
